&METADATA_NAMELIST
startdate = "200704010000"
enddate = "201012310000"
loop_for_a_while = 0
output_dir = ""
Latitude = 33.02
Longitude = 91.96
Forcing_Timestep = 86400
Noahlsm_Timestep = 86400
Sea_ice_point = .FALSE.
Soil_layer_thickness = 0.045 0.046 0.075 0.123 0.204 0.336 0.371 0.3 0.5 0.5 0.7 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 2.0
Soil_Temperature = 273.4 271.6 271.2 270.8 270.2 269.4 268.7 268.4 267.5 268.5 270.5 271.0 271.4 271.6 271.7 271.8 271.8 271.9 271.8 271.9
Soil_Moisture = 0.104 0.22 0.247 0.222 0.276 0.247 0.238 0.223 0.205 0.169 0.337 0.337 0.337 0.094 0.109 0.121 0.131 0.15 0.164 0.173
Soil_Liquid = 0.104 0.099 0.104 0.084 0.052 0.03 0.003 0.01 0.031 0.057 0.035 0.039 0.042 0.016 0.017 0.018 0.019 0.021 0.023 0.024
Soil_htype = 7 7 7 7 9 7 7 7 7 7 12 12 12 13 13 13 13 13 13 13
Skin_Temperature = 271.241
Canopy_water = 0
Snow_depth = 0
Snow_equivalent = 0
Deep_Soil_Temperature = 272.43
Landuse_dataset = "USGS"
Soil_type_index = 3
Vegetation_type_index = 9
Urban_veg_category = 1
glacial_veg_category = 24
Slope_type_index = 3
Max_snow_albedo = 0.75
Air_temperature_level = 2.0
Wind_level = 10.0
Green_Vegetation_Min = 0.01
Green_Vegetation_Max = 0.96
Usemonalb = .FALSE.
Rdlai2d = .FALSE.
sfcdif_option = 1
iz0tlnd = 0
Albedo_monthly = 0.18 0.17 0.16 0.15 0.15 0.15 0.15 0.16 0.16 0.17 0.17 0.18
Shdfac_monthly = 0.01 0.02 0.07 0.17 0.27 0.58 0.93 0.96 0.65 0.24 0.11 0.02
lai_monthly = 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0
Z0brd_monthly = 0.02 0.02 0.025 0.03 0.035 0.036 0.035 0.03 0.027 0.025 0.02 0.02
/
------------------------------------------------------------------------------------------------------------------------------------------------------------
 UTC date/time        windspeed       wind dir         temperature      humidity        pressure           shortwave      longwave          precipitation
yyyy mm dd hh mi       m s{-1}        degrees               K               %             hPa               W m{-2}        W m{-2}          kg m{-2} s{-1}
------------------------------------------------------------------------------------------------------------------------------------------------------------
<Forcing>  This tag ("<Forcing>", not case sensitive) begins the section of forcing data.  The times have been converted from CST to UTC
2010 01 16 00 00     5.0424973897   249.0000000000   259.8712441933    36.7624975488   543.4400000000   178.9062500000   170.3750000000 0.0000000003104409
2010 01 17 00 00     3.3487473092   249.0000000000   258.8262442167    11.0820606526   543.4400000000   174.1250000000   166.9375000000 0.0000000003104409
2010 01 18 00 00     5.1737473959   249.0000000000   259.7424941962    16.6084213529   543.4400000000   171.3125000000   169.7500000000 0.0000000003104409
2010 01 19 00 00     5.4277474080   249.0000000000   259.9499941915    30.9010829923   543.4400000000   154.0312500000   183.6250000000 0.0000006079493162
2010 01 20 00 00     4.0944973446   249.0000000000   256.5424942677    37.5010931272   543.4400000000   127.9687500000   182.7187500000 0.0000000003104409
2010 01 21 00 00     2.5222472699   249.0000000000   258.4687442246    38.9213042916   543.4400000000   142.8437500000   186.4687500000 0.0000000003104409
2010 01 22 00 00     3.4537473142   249.0000000000   257.0237442569    29.2825050978   543.4400000000   161.1250000000   172.2500000000 0.0000000003104409
2010 01 23 00 00     3.5037473166   249.0000000000   257.7412442409    53.2281863783   543.4400000000   111.2812500000   200.3750000000 0.0000000003104409
2010 01 24 00 00     4.4844973632   249.0000000000   256.3949942710    39.7495500399   543.4400000000   161.6562500000   172.5312500000 0.0000006079493162
2010 01 25 00 00     1.6867472302   249.0000000000   256.5949942665    49.4306244419   543.4400000000   145.4375000000   181.1562500000 0.0000000003104409
2010 01 26 00 00     3.4977473163   249.0000000000   255.5099942908    58.1394306291   543.4400000000   142.0625000000   180.5312500000 0.0000000003104409
2010 01 27 00 00     3.0129972933   249.0000000000   256.7087442640    34.2369569550   543.4400000000   180.8750000000   165.5625000000 0.0000000003104409
2010 01 28 00 00     4.8219973792   249.0000000000   259.2749942066    28.1584744050   543.4400000000   185.5937500000   171.1250000000 0.0000000003104409
2010 01 29 00 00     2.8952472877   249.0000000000   261.3474941603    18.9884212942   543.4400000000   189.8750000000   175.0312500000 0.0000003475326554
2010 01 30 00 00     5.1174973932   249.0000000000   259.0362442120    40.9383523971   543.4400000000   103.9687500000   209.5000000000 0.0000021704492813
2010 01 31 00 00     3.5657473195   249.0000000000   258.3299942277    24.9186732895   543.4400000000   169.2812500000   176.6250000000 0.0000000003104409
2010 02 01 00 00     4.0892473444   249.0000000000   258.5149942236    27.5124843088   543.0200000000   150.0625000000   187.3125000000 0.0000000003104409
2010 02 02 00 00     4.0229973412   249.0000000000   257.7587442405    34.0296243094   543.0200000000   162.8437500000   181.1875000000 0.0000000003104409
2010 02 03 00 00     4.1307473463   249.0000000000   255.2999942955    63.1413493089   543.0200000000   162.5937500000   173.3125000000 0.0000000003104409
2010 02 04 00 00     4.1174973458   249.0000000000   254.8587443053     6.3076209652   543.0200000000   188.4687500000   160.5312500000 0.0000000003104409
2010 02 05 00 00     3.1579973001   249.0000000000   256.7937442621    11.7672871525   543.0200000000   182.8125000000   171.1875000000 0.0000000003104409
2010 02 06 00 00     4.4004973592   249.0000000000   260.7937441727    16.9076325219   543.0200000000   202.5312500000   174.7187500000 0.0000000871159945
2010 02 07 00 00     4.3652473575   249.0000000000   263.7887441057    18.7282306048   543.0200000000   171.5937500000   197.2187500000 0.0000000003104409
2010 02 08 00 00     5.0199973886   249.0000000000   264.3324940936    21.9776604197   543.0200000000   187.6875000000   191.3125000000 0.0000018232270668
2010 02 09 00 00     7.3742475004   249.0000000000   267.1412440308    22.9692007169   543.0200000000   162.3125000000   213.9687500000 0.0000002607271017
2010 02 10 00 00     8.1794975386   249.0000000000   261.9212441475    25.8799266744   543.0200000000   145.3125000000   203.7812500000 0.0000000003104409
2010 02 11 00 00     4.8637473812   249.0000000000   260.2224941854    51.7345192766   543.0200000000   194.2187500000   181.5000000000 0.0000000003104409
2010 02 12 00 00     6.4407474561   249.0000000000   263.0312441227    33.9831002479   543.0200000000   181.7812500000   195.5937500000 0.0000012155881915
2010 02 13 00 00     5.1312473939   249.0000000000   260.3912441817    53.3270670250   543.0200000000   197.5312500000   182.3750000000 0.0000028648937102
2010 02 14 00 00     5.3269974032   249.0000000000   260.9324941696    15.8821085247   543.0200000000   212.2187500000   177.0625000000 0.0000000003104409
2010 02 15 00 00     7.9972475300   249.0000000000   262.6699941307    15.0322704930   543.0200000000   184.5000000000   194.3437500000 0.0000000003104409
2010 02 16 00 00     4.8432473802   249.0000000000   258.8937442151    58.4033340873   543.0200000000   194.0312500000   180.2500000000 0.0000000003104409
2010 02 17 00 00     3.9744973389   249.0000000000   258.8674942157    36.5854842824   543.0200000000   180.6875000000   185.9375000000 0.0000003475326554
2010 02 18 00 00     4.7534973759   249.0000000000   255.9937442800    19.5083198436   543.0200000000   169.8750000000   178.8125000000 0.0000000003104409
2010 02 19 00 00     2.9647472910   249.0000000000   258.7599942181    26.1101336382   543.0200000000   203.7812500000   178.4375000000 0.0000000003104409
2010 02 20 00 00     3.6269973224   249.0000000000   260.7662441733    40.1588610461   543.0200000000   172.6562500000   196.6250000000 0.0000000003104409
2010 02 21 00 00     3.6822473250   249.0000000000   260.3524941825    55.2042651872   543.0200000000   209.8750000000   182.2500000000 0.0000000003104409
2010 02 22 00 00     3.0762472963   249.0000000000   262.7237441295    38.6253458288   543.0200000000   228.2500000000   181.0937500000 0.0000000003104409
2010 02 23 00 00     3.0012472927   249.0000000000   263.6537441088    10.6554272853   543.0200000000   177.3125000000   204.8750000000 0.0000000871159945
2010 02 24 00 00     2.5989972736   249.0000000000   264.3387440935    31.7324019118   543.0200000000   228.3437500000   189.7500000000 0.0000010419770843
2010 02 25 00 00     3.9777473391   249.0000000000   261.1212441654    37.0775042108   543.0200000000   151.9687500000   207.4062500000 0.0000000003104409
2010 02 26 00 00     3.1904973017   249.0000000000   261.9824941461    27.4348117536   543.0200000000   205.3750000000   191.5937500000 0.0000008683659770
2010 02 27 00 00     3.0354972943   249.0000000000   262.2924941392    39.6104860981   543.0200000000   202.0625000000   195.8437500000 0.0000002607271017
2010 02 28 00 00     4.6077473690   249.0000000000   263.2912441169    35.8128084803   543.0200000000   185.1250000000   204.9687500000 0.0000002607271017
2010 03 01 00 00     3.5147473171   249.0000000000   264.2549940953    30.1100895018   545.1400000000   167.8750000000   214.5000000000 0.0000027780881566
2010 03 02 00 00     6.0504974375   249.0000000000   262.2749941396    47.8250255224   545.1400000000   155.5937500000   213.0937500000 0.0000221357266128
2010 03 03 00 00     4.6099973691   249.0000000000   262.4474941357    34.7930947162   545.1400000000   258.3125000000   176.4375000000 0.0000013023937451
2010 03 04 00 00     4.8814973820   249.0000000000   264.5762440881    23.7431188192   545.1400000000   171.1562500000   215.7500000000 0.0000032121159247
2010 03 05 00 00     8.1294975363   249.0000000000   262.8662441263    43.4449351624   545.1400000000   173.0625000000   209.7500000000 0.0000008683659770
2010 03 06 00 00     6.6949974681   249.0000000000   261.8749941485    20.9740924597   545.1400000000   241.9375000000   182.7187500000 0.0000000003104409
2010 03 07 00 00     5.1694973957   249.0000000000   261.7512441513    27.7124126769   545.1400000000   223.6875000000   189.7187500000 0.0000000003104409
2010 03 08 00 00     4.4287473605   249.0000000000   260.5774941775    49.1821462477   545.1400000000   253.4062500000   178.1250000000 0.0000000003104409
2010 03 09 00 00     3.5092473168   249.0000000000   261.1112441656    53.0056429095   545.1400000000   212.1562500000   194.5312500000 0.0000008683659770
2010 03 10 00 00     2.4534972667   249.0000000000   263.1824941193    34.3472638556   545.1400000000   248.2812500000   188.0937500000 0.0000009551715307
2010 03 11 00 00     4.5867473680   249.0000000000   264.2587440952    17.1127836929   545.1400000000   270.9062500000   181.9062500000 0.0000000003104409
2010 03 12 00 00     2.4832472681   249.0000000000   265.1212440760    20.6730734162   545.1400000000   262.8437500000   188.5312500000 0.0000000871159945
2010 03 13 00 00     5.8242474268   249.0000000000   265.2724940725    28.8677087016   545.1400000000   248.4375000000   194.5937500000 0.0000007815604234
2010 03 14 00 00     3.9847473394   249.0000000000   263.3774941149    24.2736561833   545.1400000000   235.5937500000   195.0312500000 0.0000094621157849
2010 03 15 00 00     3.2747473057   249.0000000000   260.4024941814    15.9321682797   545.1400000000   284.2500000000   169.1875000000 0.0000000003104409
2010 03 16 00 00     3.2664973053   249.0000000000   262.8849941260    50.9762224826   545.1400000000   237.4375000000   196.6562500000 0.0000134551712513
2010 03 17 00 00     2.2109972552   249.0000000000   263.0487441223    49.0941246453   545.1400000000   232.1875000000   197.8125000000 0.0000049482269970
2010 03 18 00 00     3.2434973042   249.0000000000   264.5574940885    36.6849133198   545.1400000000   272.5312500000   189.4062500000 0.0000000003104409
2010 03 19 00 00     5.2652474002   249.0000000000   265.5587440662    26.2448080087   545.1400000000   255.9062500000   196.5625000000 0.0000000871159945
2010 03 20 00 00     3.5474973186   249.0000000000   268.4374940018    21.7788304071   545.1400000000   285.7500000000   195.5937500000 0.0000000003104409
2010 03 21 00 00     5.4602474095   249.0000000000   272.3462439144    14.1052400350   545.1400000000   264.8750000000   215.2187500000 0.0000026044770493
2010 03 22 00 00     4.8862473822   249.0000000000   270.7549939500    19.5571002016   545.1400000000   250.2500000000   217.0312500000 0.0000006947548698
2010 03 23 00 00     6.7484974707   249.0000000000   272.7262439060    18.6917581565   545.1400000000   250.8437500000   223.5937500000 0.0000012155881915
2010 03 24 00 00     5.4569974094   249.0000000000   269.6249939753    24.9440345727   545.1400000000   292.8750000000   200.5000000000 0.0000000003104409
2010 03 25 00 00     2.7362472801   249.0000000000   268.1099940091    24.5148183782   545.1400000000   298.4062500000   193.8750000000 0.0000005211437626
2010 03 26 00 00     3.2439973042   249.0000000000   267.8749940144    16.1512987865   545.1400000000   279.7500000000   199.4687500000 0.0000000003104409
2010 03 27 00 00     2.6954972782   249.0000000000   268.7599939946    46.3625525334   545.1400000000   254.4687500000   217.0937500000 0.0000022572548349
2010 03 28 00 00     2.0104972456   249.0000000000   266.6724940413    52.0969388510   545.1400000000   266.3437500000   205.6875000000 0.0000062503103012
2010 03 29 00 00     4.8979973828   249.0000000000   266.6174940425    68.3653296137   545.1400000000   236.4375000000   216.1250000000 0.0000000003104409
2010 03 30 00 00     3.7119973265   249.0000000000   267.3637440258    62.4478889315   545.1400000000   234.8125000000   219.4687500000 0.0000026912826030
2010 03 31 00 00     3.5704973198   249.0000000000   263.9812441014    70.6310349176   545.1400000000   196.9687500000   218.3437500000 0.0000033857270319
2010 04 01 00 00     3.1669973006   249.0000000000   263.5874941102    60.7743416949   548.2200000000   212.9687500000   211.3437500000 0.0000065107269620
2010 04 02 00 00     3.0929972971   249.0000000000   264.6874940856    49.8551407100   548.2200000000   220.0937500000   213.0937500000 0.0000000003104409
2010 04 03 00 00     4.3742473579   249.0000000000   265.4487440686    45.6275470329   548.2200000000   237.4375000000   210.9375000000 0.0000019968381741
2010 04 04 00 00     3.7092473263   249.0000000000   268.3399940040    27.0476403942   548.2200000000   265.9375000000   210.2812500000 0.0000008683659770
2010 04 05 00 00     4.4962473637   249.0000000000   268.5049940003    28.6432869137   548.2200000000   214.7500000000   227.7812500000 0.0000039933659072
2010 04 06 00 00     5.2037473973   249.0000000000   265.5537440663    42.2515965045   548.2200000000   243.1250000000   210.6562500000 0.0000072919769446
2010 04 07 00 00     3.1802473012   249.0000000000   265.0912440766    22.8205847833   548.2200000000   314.8437500000   186.6875000000 0.0000026912826030
2010 04 08 00 00     5.4512474091   249.0000000000   270.5062439556    19.3779502411   548.2200000000   310.8437500000   204.7500000000 0.0000006079493162
2010 04 09 00 00     5.6092474166   249.0000000000   269.3724939809    21.4344737789   548.2200000000   294.4687500000   207.0625000000 0.0000027780881566
2010 04 10 00 00     3.5224973175   249.0000000000   268.6162439978    35.6110724592   548.2200000000   280.5000000000   211.1562500000 0.0000118926712862
2010 04 11 00 00     4.0149973408   249.0000000000   268.7637439945    32.5350330777   548.2200000000   329.0625000000   197.0312500000 0.0000032989214783
2010 04 12 00 00     3.3752473105   249.0000000000   272.5274939104    23.9666375707   548.2200000000   316.6250000000   213.5937500000 0.0000006947548698
2010 04 13 00 00     6.1737474434   249.0000000000   269.2349939840    48.3640206943   548.2200000000   246.0625000000   227.3125000000 0.0000008683659770
2010 04 14 00 00     4.0962473447   249.0000000000   267.6749940188    29.3015012098   548.2200000000   273.9687500000   211.8750000000 0.0000012155881915
2010 04 15 00 00     2.8407472851   249.0000000000   269.5262439775    26.9910097812   548.2200000000   287.0625000000   214.3750000000 0.0000092016991241
2010 04 16 00 00     2.1922472543   249.0000000000   271.1124939420    22.9837932112   548.2200000000   284.7187500000   222.0937500000 0.0000023440603885
2010 04 17 00 00     3.0164972934   249.0000000000   267.8062440159    46.2678722922   548.2200000000   233.9375000000   226.2187500000 0.0000016496159596
2010 04 18 00 00     3.8417473326   249.0000000000   273.1699938960    35.8194977579   548.2200000000   297.8125000000   227.1250000000 0.0000000871159945
2010 04 19 00 00     5.0024973878   249.0000000000   274.3649938693    44.0296133861   548.2200000000   248.4062500000   248.6875000000 0.0000324655874930
2010 04 20 00 00     3.7949973304   249.0000000000   270.0212439664    52.7728835753   548.2200000000   295.9687500000   218.5000000000 0.0000014760048524
2010 04 21 00 00     3.4692473150   249.0000000000   271.9462439234    46.3246198021   548.2200000000   343.9375000000   211.8750000000 0.0000000003104409
2010 04 22 00 00     2.3794972632   249.0000000000   271.0774939428    43.2402825063   548.2200000000   338.5625000000   209.9687500000 0.0000000003104409
2010 04 23 00 00     5.5942474158   249.0000000000   271.1712439407    32.2434673712   548.2200000000   308.6875000000   217.9062500000 0.0000000871159945
2010 04 24 00 00     6.8144974738   249.0000000000   269.6612439745    38.6826068330   548.2200000000   285.0312500000   220.2187500000 0.0000010419770843
2010 04 25 00 00     4.4669973623   249.0000000000   265.2674940727    25.5027830104   548.2200000000   165.1875000000   235.1875000000 0.0000004343382090
2010 04 26 00 00     2.8519972856   249.0000000000   264.1424940978    69.9224959597   548.2200000000   344.8750000000   188.8125000000 0.0000000003104409
2010 04 27 00 00     1.5229972225   249.0000000000   266.2562440506    65.8825746606   548.2200000000   309.8750000000   204.3750000000 0.0000002607271017
2010 04 28 00 00     2.5774972726   249.0000000000   270.9299939461    35.2898863972   548.2200000000   338.5000000000   211.1250000000 0.0000076391991590
2010 04 29 00 00     2.1339972515   249.0000000000   271.6937439291    45.6880742875   548.2200000000   246.9687500000   240.9062500000 0.0000023440603885
2010 04 30 00 00     2.8724972866   249.0000000000   272.1799939182    45.3905327606   548.2200000000   309.9062500000   226.1562500000 0.0000032121159246
2010 05 01 00 00     2.6004972737   249.0000000000   274.6987438619    41.5334763596   550.2200000000   289.6875000000   241.4687500000 0.0000020836437276
2010 05 02 00 00     3.4652473148   249.0000000000   273.8437438810    67.2880610584   550.2200000000   271.3437500000   246.8125000000 0.0000036461436927
2010 05 03 00 00     2.6622472766   249.0000000000   270.9912439447    66.2330236423   550.2200000000   197.2187500000   254.4687500000 0.0000173614211640
2010 05 04 00 00     3.7027473260   249.0000000000   273.1949938955    36.8761563130   550.2200000000   331.6562500000   221.6875000000 0.0000028648937102
2010 05 05 00 00     2.9872472920   249.0000000000   275.6149938414    32.6405077024   550.2200000000   320.0625000000   234.7187500000 0.0000026044770493
2010 05 06 00 00     2.7582472812   249.0000000000   275.3687438469    51.2794801029   550.2200000000   307.4062500000   243.1250000000 0.0000078128102663
2010 05 07 00 00     4.1322473464   249.0000000000   272.8949939022    77.5665970611   550.2200000000   209.5312500000   261.5937500000 0.0001332468352403
2010 05 08 00 00     2.5802472727   249.0000000000   270.9637439454    84.7356719226   550.2200000000   198.1562500000   256.1250000000 0.0000189239211290
2010 05 09 00 00     2.7574972811   249.0000000000   268.5537439992    85.7784659210   550.2200000000   204.7187500000   244.6250000000 0.0000283857264731
2010 05 10 00 00     1.6369972279   249.0000000000   269.3949939804    80.8346240593   550.2200000000   307.9062500000   222.6875000000 0.0000070315602837
2010 05 11 00 00     2.6289972750   249.0000000000   269.9862439672    77.7896117212   550.2200000000   229.8437500000   244.5937500000 0.0000054690603186
2010 05 12 00 00     2.7892472826   249.0000000000   269.8574939701    77.7882788965   550.2200000000   298.3750000000   226.7187500000 0.0000032121159247
2010 05 13 00 00     2.3062472597   249.0000000000   271.1537439411    58.8091470329   550.2200000000   378.0937500000   209.8437500000 0.0000236982265779
2010 05 14 00 00     4.3667473576   249.0000000000   269.7387439727    75.8174078489   550.2200000000   270.1562500000   232.9687500000 0.0000239586432387
2010 05 15 00 00     3.9627473384   249.0000000000   267.9549940126    77.9625047339   550.2200000000   301.2500000000   218.5937500000 0.0000009551715307
2010 05 16 00 00     4.5304973654   249.0000000000   271.9699939229    49.6100097681   550.2200000000   267.9375000000   239.5625000000 0.0000032989214783
2010 05 17 00 00     2.7317472799   249.0000000000   273.4962438888    43.8614027009   550.2200000000   301.5625000000   237.6875000000 0.0000002607271017
2010 05 18 00 00     4.6104973691   249.0000000000   274.9812438555    40.1973506667   550.2200000000   295.3125000000   243.8750000000 0.0000016496159596
2010 05 19 00 00     4.6149973694   249.0000000000   276.4512438227    38.0911935859   550.2200000000   308.3750000000   244.5937500000 0.0000014760048523
2010 05 20 00 00     6.1417474419   249.0000000000   276.5149938213    32.7941487785   550.2200000000   386.6250000000   223.1250000000 0.0000216148932911
2010 05 21 00 00     3.5387473182   249.0000000000   270.9674939453    52.0869277893   550.2200000000   218.3750000000   250.1875000000 0.0000022572548349
2010 05 22 00 00     3.0077472930   249.0000000000   274.4849938666    29.6242361881   550.2200000000   347.5000000000   225.5625000000 0.0000004343382090
2010 05 23 00 00     4.2977473543   249.0000000000   276.7924938151    35.4966863622   550.2200000000   301.6250000000   249.9062500000 0.0000017364215132
2010 05 24 00 00     2.5142472696   249.0000000000   273.2262438948    74.6153869780   550.2200000000   271.9062500000   248.9687500000 0.0000339412819045
2010 05 25 00 00     2.4144972648   249.0000000000   269.6574939745    77.6319946890   550.2200000000   184.2187500000   255.7187500000 0.0000284725320267
2010 05 26 00 00     3.3579973096   249.0000000000   271.2999939378    43.7528249002   550.2200000000   364.1562500000   214.0000000000 0.0000070315602837
2010 05 27 00 00     2.1919972543   249.0000000000   273.6262438858    33.2674777060   550.2200000000   384.3437500000   214.1562500000 0.0000002607271017
2010 05 28 00 00     2.9439972900   249.0000000000   275.4924938441    40.5825890251   550.2200000000   372.0625000000   227.0312500000 0.0000013891992987
2010 05 29 00 00     2.4734972676   249.0000000000   273.3987438909    77.2549641216   550.2200000000   246.7500000000   256.4687500000 0.0000309898930815
2010 05 30 00 00     3.3844973109   249.0000000000   274.7312438612    62.0785638172   550.2200000000   296.5312500000   247.6875000000 0.0000115454490717
2010 05 31 00 00     1.9134972410   249.0000000000   269.9599939678    85.9813273711   550.2200000000   158.3437500000   264.2187500000 0.0000820315586073
2010 06 01 00 00     3.5669973196   249.0000000000   271.9999939222    56.3301760047   551.1800000000   306.6562500000   232.9687500000 0.0000484378093582
2010 06 02 00 00     2.9232472890   249.0000000000   272.5137439107    52.1149413814   551.1800000000   363.4375000000   221.0312500000 0.0000150176712163
2010 06 03 00 00     3.9384973372   249.0000000000   273.3624938917    63.9157480758   551.1800000000   333.8437500000   234.5312500000 0.0000176218378248
2010 06 04 00 00     2.5919972733   249.0000000000   274.7787438601    65.6977937022   551.1800000000   232.7812500000   266.1562500000 0.0000243058654532
2010 06 05 00 00     3.5054973167   249.0000000000   273.7337438834    69.3892129707   551.1800000000   288.8750000000   247.5937500000 0.0000305558653135
2010 06 06 00 00     5.0632473906   249.0000000000   273.5224938882    64.4483336798   551.1800000000   244.9687500000   256.4687500000 0.0000468753093932
2010 06 07 00 00     5.3239974030   249.0000000000   275.2587438494    46.1698609711   551.1800000000   329.7187500000   238.5937500000 0.0000164065600741
2010 06 08 00 00     1.7029972311   249.0000000000   277.0874938085    58.8280085895   551.1800000000   300.7187500000   257.3750000000 0.0000104169768747
2010 06 09 00 00     4.2567473523   249.0000000000   278.7262437719    45.2454333772   551.1800000000   390.3437500000   237.3125000000 0.0000092885046777
2010 06 10 00 00     4.4607473620   249.0000000000   277.8849937907    37.0350263058   551.1800000000   381.2187500000   234.3125000000 0.0000237850321315
2010 06 11 00 00     3.7154973266   249.0000000000   278.0212437876    42.3248690154   551.1800000000   380.4687500000   236.4687500000 0.0000195315600043
2010 06 12 00 00     2.9644972910   249.0000000000   277.0099938102    55.4022893610   551.1800000000   314.5937500000   253.8750000000 0.0000085072546952
2010 06 13 00 00     3.5209973174   249.0000000000   275.4324938455    68.1306275044   551.1800000000   338.0000000000   243.5312500000 0.0000469621149468
2010 06 14 00 00     4.3074973547   249.0000000000   276.8049938148    64.3714643415   551.1800000000   313.1250000000   254.5312500000 0.0000196183655579
2010 06 15 00 00     2.2819972585   249.0000000000   274.5687438648    77.3224448735   551.1800000000   270.2812500000   257.4687500000 0.0000543405870041
2010 06 16 00 00     2.3677472626   249.0000000000   276.5674938201    72.6750487901   551.1800000000   320.4687500000   254.0000000000 0.0000223093377200
2010 06 17 00 00     3.2257473034   249.0000000000   278.0662437866    69.6390796519   551.1800000000   295.0312500000   266.8750000000 0.0000898440584327
2010 06 18 00 00     4.3859973585   249.0000000000   277.1274938076    65.9460246877   551.1800000000   340.1250000000   249.6562500000 0.0000587676702384
2010 06 19 00 00     4.2259973509   249.0000000000   277.9837437884    60.5809663896   551.1800000000   361.5312500000   247.1875000000 0.0000050350325506
2010 06 20 00 00     2.5502472713   249.0000000000   278.5487437758    52.0503090729   551.1800000000   355.9062500000   249.1875000000 0.0000242190598995
2010 06 21 00 00     3.5232473175   249.0000000000   277.6212437965    73.4052600488   551.1800000000   273.6250000000   270.6875000000 0.0000578996147023
2010 06 22 00 00     2.5577472716   249.0000000000   275.7462438385    84.8618228676   551.1800000000   198.3750000000   280.9687500000 0.0001605037790755
2010 06 23 00 00     2.6752472772   249.0000000000   276.8312438142    76.4585226170   551.1800000000   263.4687500000   269.9062500000 0.0001091148913353
2010 06 24 00 00     2.4859972682   249.0000000000   276.4699938223    77.8537173191   551.1800000000   271.7812500000   264.8750000000 0.0000839412807869
2010 06 25 00 00     3.0359972943   249.0000000000   277.5649937978    74.6319987306   551.1800000000   295.8125000000   264.6875000000 0.0000257815598646
2010 06 26 00 00     4.0367473419   249.0000000000   279.3862437571    69.1156916488   551.1800000000   349.0937500000   259.0312500000 0.0000446183649991
2010 06 27 00 00     3.4404973136   249.0000000000   279.7399937492    70.6399086627   551.1800000000   301.4062500000   273.0937500000 0.0000530385036998
2010 06 28 00 00     3.2494973045   249.0000000000   279.5599937532    70.6651270176   551.1800000000   261.5312500000   282.5312500000 0.0001887155840005
2010 06 29 00 00     2.6572472764   249.0000000000   278.4049937790    79.1402057541   551.1800000000   211.0625000000   290.2812500000 0.0001011287804027
2010 06 30 00 00     6.0042474353   249.0000000000   276.6112438191    82.1962892696   551.1800000000   258.1250000000   270.5937500000 0.0000282989209195
2010 07 01 00 00     4.5497473663   249.0000000000   279.1812437617    68.8352646745   552.5600000000   261.6875000000   279.5000000000 0.0000462676705178
2010 07 02 00 00     3.0849972967   249.0000000000   279.0074937656    73.6822464099   552.5600000000   287.6562500000   273.6562500000 0.0000261287820791
2010 07 03 00 00     3.2742473057   249.0000000000   279.9774937439    70.1985274742   552.5600000000   339.2187500000   264.9375000000 0.0000279516987050
2010 07 04 00 00     3.2607473050   249.0000000000   280.1462437401    69.6094143887   552.5600000000   280.0937500000   280.2187500000 0.0000152780878772
2010 07 05 00 00     3.1112472979   249.0000000000   280.8749937238    69.6582754580   552.5600000000   296.1875000000   280.0312500000 0.0001082468357992
2010 07 06 00 00     3.2829973061   249.0000000000   281.2687437150    65.0736362552   552.5600000000   328.0000000000   272.4375000000 0.0000200523933260
2010 07 07 00 00     1.2639972102   249.0000000000   281.3237437138    69.2495994108   552.5600000000   304.3437500000   280.1250000000 0.0000461808649642
2010 07 08 00 00     2.7682472816   249.0000000000   279.6699937507    75.5257385164   552.5600000000   241.5312500000   288.5937500000 0.0000052086436578
2010 07 09 00 00     2.4899972684   249.0000000000   277.9774937886    75.8666479919   552.5600000000   276.6250000000   271.7500000000 0.0000653648923132
2010 07 10 00 00     2.0099972456   249.0000000000   276.9524938115    79.9296222510   552.5600000000   280.7500000000   266.4375000000 0.0000318579486177
2010 07 11 00 00     1.6999972309   249.0000000000   275.6787438400    85.4074456919   552.5600000000   178.1875000000   285.1875000000 0.0001116322523902
2010 07 12 00 00     2.5899972732   249.0000000000   276.8487438138    81.3397570108   552.5600000000   208.2812500000   282.5000000000 0.0000581600313631
2010 07 13 00 00     1.8474972379   249.0000000000   279.7262437495    75.2979612930   552.5600000000   246.1562500000   287.5625000000 0.0000368058651738
2010 07 14 00 00     2.2507472571   249.0000000000   280.5549937310    67.4029444035   552.5600000000   302.8750000000   274.8125000000 0.0000208336433085
2010 07 15 00 00     2.2472472569   249.0000000000   280.6899937279    67.7285497283   552.5600000000   313.5000000000   273.1562500000 0.0000660593367421
2010 07 16 00 00     3.5584973192   249.0000000000   281.4687437106    65.4554447876   552.5600000000   346.4062500000   267.4375000000 0.0000205732266477
2010 07 17 00 00     2.1844972539   249.0000000000   276.2387438274    75.0925711723   552.5600000000   272.1875000000   262.6250000000 0.0000498266982160
2010 07 18 00 00     2.6479972759   249.0000000000   278.2812437818    57.0908739930   552.5600000000   352.2187500000   247.4375000000 0.0000011287826379
